"name","description","image","slug","videoId","level","deletedAt","_id","deleted","__v"
"Node JS","Khóa học Node JS F8","https://img.youtube.com/vi/z2f7RHgvddc/sddefault.jpg","node-js","z2f7RHgvddc","Trung bình",,"62a59dff5632f7e45fee5b08",false,0
"HTML cơ bản","HTML từ zero tới Hero","https://img.youtube.com/vi/R6plN3FvzFY/sddefault.jpg","html-co-ban","R6plN3FvzFY","Cơ bản",,"62a59f0321548fb0baa1e05c",false,0
"Javascript cơ bản","Javascript cho người mới bắt đầu","https://img.youtube.com/vi/0SJE9dYdpps/sddefault.jpg","javascript-co-ban","0SJE9dYdpps","Cơ bản",,"62a59f3721548fb0baa1e090",false,0
